root_rustsec_id,root_cve_id,root_target_crate,hop,upstream_crate,upstream_fix_version,upstream_fix_time,downstream_crate,downstream_version,downstream_time,lag_days,dep_req,repo_url,pr_url,pr_merged_at,align_method,align_sha,status
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,rsure,0.7.0,2017-08-06 18:46:07.292675 UTC,273,^0.9,https://github.com/d3zd3z/rsure,,,tag_exact_no_pr,dccf89277ec69d5089b9c0321e51b12a3a0218d1,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,rumqtt,0.10.0,2017-06-07 18:07:32.591051 UTC,213,^0.9,https://github.com/AtherEnergy/rumqtt,https://github.com/AtherEnergy/rumqtt/pull/28,2017-02-09T08:05:11Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,rust_cast,0.10.0,2017-12-02 12:15:25.582979 UTC,391,^0.9.22,https://github.com/azasypkin/rust-cast,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,servo-websocket,0.19.0,2017-03-06 17:58:03.135108 UTC,120,^0.9,https://github.com/cyderize/rust-websocket.git,,,tag_exact_no_pr,776e8217e2475b96ace5c99b3a658b639917d688,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,sgxs,0.6.0-rc1,2018-11-19 10:04:03.544541 UTC,743,^0.10,https://github.com/fortanix/rust-sgx,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,shadowsocks-rust,1.0.3,2017-02-06 04:03:47.809114 UTC,92,^0.9,https://github.com/shadowsocks/shadowsocks-rust,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,shiplift,0.3.2,2017-06-26 01:02:42.601172 UTC,231,^0.9,https://github.com/softprops/shiplift,https://github.com/softprops/shiplift/pull/29,2016-12-27T12:47:56Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,simple-stream,0.11.0,2023-06-23 14:58:25.175812 UTC,2420,^0.10,https://github.com/nathansizemore/simple-stream,https://github.com/nathansizemore/simple-stream/pull/3,2023-06-23T14:55:27Z,tag_exact_pr,84d7b2f33d439c8c818f0255ad03668a5038f502,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,simple_jwt,1.0.0,2017-04-22 04:30:05.332166 UTC,167,^0.9.2,https://github.com/realli/simple_jwt,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,tenrus,0.1.1,2017-01-18 13:37:01.005001 UTC,73,^0.9.6,https://github.com/wdv4758h/tenrus/,,,tag_exact_no_pr,3d175b304a6ab67623a693de052ec6be569aceec,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,tiny_http,0.6.0,2018-03-28 08:00:57.262509 UTC,507,^0.10,https://github.com/tiny-http/tiny-http,https://github.com/tiny-http/tiny-http/pull/124,2016-12-07T01:03:40Z,search_window,3c31366403896f97641aca7cc2515a6ab22d8707,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,tls-api-openssl,0.1.13,2018-02-08 15:44:48.348904 UTC,459,0.9.*,https://github.com/edgedb/rust-tls-api/,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,trust-dns,0.9.3,2016-12-31 20:45:40.772080 UTC,55,^0.9,https://github.com/bluejekyll/trust-dns,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,trust-dns-server,0.9.3,2016-12-31 20:46:18.930084 UTC,55,^0.9,https://github.com/bluejekyll/trust-dns,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,websocket,0.19.0,2017-04-05 18:03:43.548149 UTC,150,^0.9.10,https://github.com/websockets-rs/rust-websocket,https://github.com/websockets-rs/rust-websocket/pull/80,2017-04-01T06:06:15Z,search_window,776e8217e2475b96ace5c99b3a658b639917d688,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,ws,0.7.0,2017-03-30 23:15:27.125574 UTC,144,^0.9,https://github.com/housleyjk/ws-rs,https://github.com/housleyjk/ws-rs/pull/106,2017-02-16T18:11:47Z,search_window,70d9908d8924915f4b2b6b356408f22d79ad2c18,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,1,openssl,0.9.0,2016-11-06 03:11:39.197825 UTC,yup-oauth2,1.0.2,2017-01-31 18:04:58.500726 UTC,86,^0.9.6,https://github.com/dermesser/yup-oauth2,https://github.com/dermesser/yup-oauth2/pull/49,2016-11-26T09:45:46Z,search_window,,found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,acme-client,0.3.0,2017-02-22 18:39:14.695609 UTC,letsencrypt-rs,0.1.4,2017-02-22 18:40:07.485108 UTC,0,^0.3,https://github.com/onur/acme-client,,,tag_exact_no_pr,366c8c017a26056ddf621f780f341d377d092410,commit_found_no_pr
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-show,0.3.0,2017-03-18 01:08:41.984939 UTC,82,^0.17.0,https://github.com/g-k/cargo-show,,,,,not_found
RUSTSEC-2016-0001,CVE-2016-10931,openssl,2,cargo,0.15.0,2016-12-25 16:00:07.282341 UTC,cargo-local-registry,0.1.3,2017-04-27 18:38:17.255807 UTC,123,^0.18,https://github.com/dhovart/cargo-local-registry,,,tag_exact_no_pr,c5b7864857722d331d0957a6c4b248523284195d,commit_found_no_pr
