rustsec_id,cve_id,severity,target_crate,fix_time,downstream_crates_with_history,affected_edges,locked_out_edges,break_rate_percent,affected_req_exact_pin,affected_req_has_upper_bound,affected_req_caret_0x,affected_req_other,unknown_req_unparseable
RUSTSEC-2022-0095,CVE-2022-31104,UNKNOWN,wasmtime,2022-06-27 22:20:59.348049 UTC,60,60,53,88,0,0,60,0,0
RUSTSEC-2022-0096,CVE-2022-23636,UNKNOWN,wasmtime,2022-02-16 20:56:57.779467 UTC,46,41,31,75,0,0,41,0,0
RUSTSEC-2022-0097,CVE-2022-39394,LOW,wasmtime,2022-11-11 00:07:51.065350 UTC,72,66,56,84,0,0,54,12,0
RUSTSEC-2022-0098,CVE-2022-39393,HIGH,wasmtime,2022-11-11 00:07:51.065350 UTC,72,66,56,84,0,0,54,12,0
RUSTSEC-2022-0099,CVE-2022-24791,UNKNOWN,wasmtime,2022-03-31 21:20:39.685166 UTC,48,43,37,86,0,0,43,0,0
RUSTSEC-2022-0100,CVE-2022-31146,UNKNOWN,wasmtime,2022-07-20 19:54:05.615602 UTC,62,56,49,87,0,0,54,2,0
RUSTSEC-2022-0101,CVE-2022-23636,UNKNOWN,wasmtime,2022-07-20 19:54:05.615602 UTC,62,56,49,87,0,0,54,2,0
RUSTSEC-2022-0102,CVE-2022-39392,MEDIUM,wasmtime,2022-11-11 00:07:51.065350 UTC,72,66,56,84,0,0,54,12,0
RUSTSEC-2022-0103,CVE-2021-20319,HIGH,coreos-installer,2021-10-11 18:18:18.683148 UTC,0,0,0,0,0,0,0,0,0
RUSTSEC-2023-0001,CVE-2023-22466,UNKNOWN,tokio,2023-01-03 22:20:40.063970 UTC,8441,6958,91,1,33,3,30,6892,0
RUSTSEC-2023-0003,CVE-2023-22742,UNKNOWN,libgit2-sys,2023-01-20 22:53:05.488167 UTC,8,8,5,62,0,0,8,0,0
RUSTSEC-2023-0004,CVE-2023-22895,UNKNOWN,bzip2,2023-01-05 17:16:21.294819 UTC,120,120,36,30,0,1,119,0,0
RUSTSEC-2023-0005,RUSTSEC-2023-0005,INFO,tokio,2023-01-17 18:28:06.492647 UTC,8617,8244,1203,14,45,18,1081,7100,0
RUSTSEC-2023-0006,CVE-2023-0286,UNKNOWN,openssl-src,2023-02-07 17:17:20.810595 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2023-0007,CVE-2022-4304,UNKNOWN,openssl-src,2023-02-07 17:17:20.810595 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2023-0008,CVE-2022-4203,UNKNOWN,openssl-src,2023-02-07 17:17:20.810595 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2023-0009,CVE-2023-0215,UNKNOWN,openssl-src,2023-02-07 17:17:20.810595 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2023-0010,CVE-2022-4450,UNKNOWN,openssl-src,2023-02-07 17:17:20.810595 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2023-0011,CVE-2023-0216,UNKNOWN,openssl-src,2023-02-07 17:17:20.810595 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2023-0012,CVE-2023-0217,UNKNOWN,openssl-src,2023-02-07 17:17:20.810595 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2023-0013,CVE-2023-0401,UNKNOWN,openssl-src,2023-02-07 17:17:20.810595 UTC,2,2,1,50,1,0,0,1,0
RUSTSEC-2023-0014,RUSTSEC-2023-0014,INFO,cortex-m-rt,2023-02-14 02:19:51.786566 UTC,735,491,1,0,1,45,294,151,0
RUSTSEC-2023-0015,RUSTSEC-2023-0015,INFO,ascii,2019-08-26 10:54:23.556369 UTC,19,19,10,52,0,1,17,1,0
RUSTSEC-2023-0016,RUSTSEC-2023-0016,INFO,partial_sort,2023-02-20 02:27:22.448871 UTC,0,0,0,0,0,0,0,0,0
RUSTSEC-2023-0018,RUSTSEC-2023-0018,UNKNOWN,remove_dir_all,2023-02-24 10:12:32.285594 UTC,50,50,50,100,1,1,47,1,0
RUSTSEC-2023-0021,RUSTSEC-2023-0021,UNKNOWN,stb_image,2023-03-19 15:25:19.374754 UTC,4,4,0,0,0,0,4,0,0
